Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,street,city,state,zip,dob,trans_num,merch_lat,merch_long,lat,long,city_pop,job,dob_year,is_fraud
0,2023-05-17,4245389033885707,Walmart,shopping,425.3436077233436,Sarah,Johnson,Pine Rd,New York,CA,45057,2002-07-29,TXN000000,49.78923116335031,-165.7972969478311,11.375656640669021,-138.94189282605646,6262446,Teacher,1991,0
1,2023-12-14,4568713619877455,Target,grocery,205.97584184452475,Mike,Brown,Pine Rd,New York,IL,50138,2021-02-05,TXN000001,9.400010431292387,-174.7905690589686,-60.79867720263055,-54.83817307119192,9156947,Doctor,1955,0
2,2023-09-25,4387954768216402,CVS,gas,11.7807824524127,Sarah,Brown,Main St,Los Angeles,CA,89390,2011-02-15,TXN000002,28.97528771694165,-137.0777119855709,-34.212616338750045,94.62797204269378,1371349,Manager,1952,0
3,2023-08-07,4869746506608606,CVS,gas,44.71001199557847,Mike,Smith,Main St,New York,IL,63024,1994-02-09,TXN000003,-31.87780765597782,53.673026593877324,71.99698983815773,38.86962033533851,7770854,Teacher,1983,0
4,2023-02-26,4785690217426000,Amazon,shopping,159.5372022677138,John,Smith,Pine Rd,Chicago,NY,19677,2006-11-05,TXN000004,-3.370688671031104,24.178711648821206,33.87139861000742,-143.0695582808325,1622780,Engineer,1994,0
5,2023-02-26,4570469256189412,Target,gas,12.792741932860107,Sarah,Johnson,Main St,Chicago,CA,54111,2014-05-16,TXN000005,21.12376517785208,19.234642018941884,87.4753771833935,126.80514899132794,71330,Doctor,1999,0
6,2023-01-22,4291875829423055,Walmart,online,13.489142048023067,Sarah,Smith,Pine Rd,Los Angeles,NY,34074,2019-05-26,TXN000006,-17.116053431428085,-168.53156548982636,48.06225539653849,36.4923457164239,6285178,Teacher,1951,0
7,2023-11-13,4249339947979975,CVS,online,458.71863431299346,Sarah,Smith,Oak Ave,Chicago,NY,27824,2001-11-29,TXN000007,-54.29294282741376,-11.050921310397456,79.55539778584625,165.90800764252072,373116,Teacher,1964,0
8,2023-08-08,4631226633476561,CVS,online,354.54845854893176,Sarah,Johnson,Main St,New York,NY,10765,2003-09-02,TXN000008,83.09528861675471,152.86421442331027,-51.086056703314426,61.266768268034724,1440343,Teacher,1986,0
9,2023-09-16,4831611525125387,Amazon,gas,157.93321508373558,John,Smith,Oak Ave,Los Angeles,NY,55439,2011-10-17,TXN000009,2.06415720767113,-36.86692704816721,48.86727746704662,-116.93704906649484,2482512,Doctor,1964,0
10,2023-01-08,4332665374109242,Starbucks,grocery,70.65906591247182,Sarah,Smith,Oak Ave,New York,CA,58926,1994-06-30,TXN000010,42.105666651786095,44.972089123844285,-86.36084637339647,-9.437989569183998,4189077,Engineer,1981,0
11,2023-12-21,4527132803446297,Walmart,grocery,258.2596803580632,Jane,Williams,Oak Ave,Los Angeles,NY,46860,2022-05-03,TXN000011,-16.011505159909532,100.73472322433167,30.736803908076112,53.45913511699351,6628991,Engineer,1970,0
12,2023-10-31,4161669390562319,Target,grocery,7.646349622910407,John,Brown,Pine Rd,Los Angeles,IL,22975,2013-11-24,TXN000012,-26.07628247537106,102.21310049107956,-5.529189938356552,-169.82470762200802,7717133,Doctor,1966,0
13,2023-03-19,4302120881725840,CVS,grocery,469.5148032097813,Jane,Johnson,Oak Ave,New York,CA,84877,1995-05-23,TXN000013,-16.7104262759175,6.940829662297688,-27.583187054387643,-174.63230490426915,5900714,Teacher,1983,0
14,2023-03-08,4615273632192281,CVS,online,210.33348409752887,Sarah,Williams,Oak Ave,Chicago,NY,87870,2013-05-19,TXN000014,-16.344604118583035,128.86270034484107,65.23278341275605,-133.41491978451555,597699,Doctor,1981,0
15,2023-03-08,4241705611971669,Walmart,online,204.15580284247972,Mike,Brown,Oak Ave,Chicago,CA,91371,2015-06-10,TXN000015,7.952420869551645,-39.1038863890511,63.76818467835551,-89.40080338363053,774797,Doctor,1999,0
16,2023-04-22,4405691069579654,Starbucks,shopping,198.3438357529822,Jane,Brown,Pine Rd,Los Angeles,IL,36548,2006-12-27,TXN000016,7.824576596645372,139.9295573225274,-85.98569311824416,-25.362315532556806,5909128,Teacher,1996,0
17,2023-07-11,4192470887076174,CVS,gas,39.31752354194356,Sarah,Brown,Oak Ave,New York,NY,48736,1998-04-22,TXN000017,-0.5123131410830979,-93.51822009760369,19.710922040897586,-4.521429446476191,4705039,Doctor,1972,0
18,2023-06-07,4600834704694790,Walmart,gas,320.96950869695416,Jane,Williams,Oak Ave,New York,IL,71562,2019-11-29,TXN000018,-65.73855871486114,-79.12209348339442,-23.790199622227846,-130.31006078235714,4331878,Manager,1984,0
19,2023-04-17,4862602058935154,Amazon,grocery,367.8367917160349,Sarah,Williams,Main St,Los Angeles,NY,50409,1994-09-24,TXN000019,-0.7064138699043951,-160.87657528835962,-15.181019729919157,62.42096848169908,3868223,Engineer,1986,0
20,2023-08-12,4345998765530951,Starbucks,online,339.6820718062037,Sarah,Brown,Pine Rd,Chicago,IL,94101,1999-03-02,TXN000020,-59.561297924282734,106.40946115522183,59.767333059379666,34.609702210752545,1088000,Manager,1992,0
21,2023-02-20,4921328131023674,Target,grocery,73.52556919805018,Sarah,Smith,Oak Ave,New York,NY,19834,2017-07-27,TXN000021,-67.29555846676227,-29.860114956226,-34.22884112501791,-73.99292441718232,4715230,Manager,1990,0
22,2023-04-17,4970691794666972,CVS,shopping,291.5258831776183,Mike,Smith,Main St,Chicago,CA,10840,2001-08-28,TXN000022,77.8762291214102,-97.51801899189634,79.74878591477162,-175.08244196329488,258290,Manager,1986,0
23,2023-05-14,4591888348122334,Walmart,gas,286.89481966526563,Jane,Williams,Pine Rd,Chicago,NY,89409,2011-06-18,TXN000023,18.89100236658676,-96.55550005803133,-57.66591125301466,-152.04675047281535,9720403,Doctor,1982,0
24,2023-06-16,4795896330373491,Amazon,gas,434.8633400309841,John,Williams,Pine Rd,Los Angeles,CA,41568,2010-12-10,TXN000024,28.70821046242517,144.50397884252396,29.290036206271992,-38.98988081609781,8053364,Teacher,1974,0
25,2023-10-14,4109566570548194,Target,grocery,192.66819089594526,John,Williams,Pine Rd,Los Angeles,NY,20846,1999-07-09,TXN000025,-17.677139339994525,120.20997616597327,30.978912062477647,-124.5692335803538,1568544,Doctor,1995,0
26,2023-03-14,4160054200124858,Walmart,shopping,188.88554211141994,John,Brown,Pine Rd,Chicago,NY,15899,1994-02-20,TXN000026,73.61656054467556,19.271118728586003,-44.60487094297472,-44.34494178673049,3816501,Engineer,1986,0
27,2023-07-07,4375004976995853,Walmart,gas,311.17089406550184,John,Smith,Pine Rd,New York,IL,96038,2019-03-17,TXN000027,24.82748812433978,41.79988814965958,-31.544890385903642,46.145737623727854,2629189,Doctor,1989,0
28,2023-08-05,4321737566506135,Target,shopping,318.37096348225896,Sarah,Williams,Pine Rd,New York,IL,76101,2010-05-24,TXN000028,48.45057651424574,-9.242794601895241,60.263728664389276,17.00547403654207,6368234,Doctor,1970,0
29,2023-01-17,4523241093892715,Amazon,shopping,237.29618752626624,Jane,Williams,Oak Ave,Los Angeles,IL,48773,2008-08-01,TXN000029,-23.65875557501151,-39.00004456362882,47.12494589189143,-96.77668207053807,9924245,Doctor,1995,0
30,2023-08-10,4414221597073196,Amazon,grocery,224.31438435355844,Jane,Johnson,Oak Ave,Chicago,NY,84723,2011-09-21,TXN000030,82.80213854744258,149.5716772385993,-30.76274154334328,-56.223903146849125,3514179,Doctor,1997,0
31,2023-03-04,4902019947643010,Starbucks,online,249.60309696575192,Mike,Brown,Oak Ave,New York,NY,82762,2012-02-12,TXN000031,57.6830322284967,-134.77942673269126,6.112178448288105,41.05123144151423,9277214,Manager,1987,0
32,2023-01-24,4575763735083993,CVS,grocery,431.21742325413936,Jane,Johnson,Oak Ave,New York,NY,14311,2021-06-08,TXN000032,63.710723342617854,-29.35915570215795,-78.89754667444282,129.90781009564154,1108168,Teacher,1989,0
33,2023-12-13,4651694304943062,Target,online,233.27761612068545,Jane,Smith,Main St,Los Angeles,CA,66888,2002-06-14,TXN000033,-59.00503186336423,-55.95771312436487,-52.42574116824674,91.15683794599579,9635589,Engineer,1983,0
34,2023-12-19,4898763019952166,Target,shopping,470.26623702506214,Jane,Johnson,Oak Ave,Chicago,CA,51616,2009-12-04,TXN000034,-41.226622583180486,-0.6657407095866006,-2.552299405128167,19.224009660029367,2639479,Engineer,1968,0
35,2023-10-23,4807105117384567,Target,online,254.48186298018138,Mike,Johnson,Pine Rd,New York,NY,62134,2017-03-01,TXN000035,-38.587212056956126,-15.252525163736976,-74.52472764974192,-49.574520606064965,2246422,Engineer,1976,0
36,2023-04-22,4028520895262211,Amazon,shopping,474.85434312454123,John,Johnson,Oak Ave,Los Angeles,IL,16083,1998-07-16,TXN000036,-41.23633981556319,6.8002313943893,61.79982388054876,-48.581540084950035,6023753,Doctor,1958,0
37,2023-02-05,4234593955494869,CVS,gas,417.2517914251925,Jane,Brown,Oak Ave,New York,IL,22598,1998-12-10,TXN000037,63.973469178771836,-129.62916819828212,39.241117819376626,136.59023169518258,5518848,Engineer,1954,0
38,2023-09-07,4496535748222348,Starbucks,gas,184.40350469483542,Mike,Smith,Pine Rd,New York,IL,92476,2008-06-03,TXN000038,-84.26073686245343,4.730940544779742,79.85406071672907,-165.8723126254033,2110588,Manager,1954,0
39,2023-06-10,4680398068235424,Walmart,gas,432.5025035418249,Mike,Johnson,Oak Ave,New York,NY,12580,2014-01-20,TXN000039,-76.30200198346063,-92.72922700060408,34.82404307352489,175.67375199129395,7967870,Teacher,1974,0
40,2023-02-14,4967636490117612,Walmart,grocery,59.481325679552036,Sarah,Brown,Oak Ave,Los Angeles,IL,67395,2003-11-15,TXN000040,-40.69532328661733,-113.64071436425115,79.27224700719341,59.175147906562415,4900521,Doctor,1975,0
41,2023-06-30,4340478707704939,Target,grocery,462.8983517947922,Mike,Smith,Oak Ave,Chicago,NY,52321,2014-05-13,TXN000041,-54.02286456310014,-156.65968123697115,9.8122600243737,65.20957166606058,7366089,Doctor,1968,0
42,2023-01-13,4909834780257729,CVS,shopping,317.66353996603135,John,Williams,Main St,Los Angeles,CA,19386,2015-12-05,TXN000042,-48.265269501087296,94.55492115221074,18.039349991154495,-166.32077857029282,4729902,Manager,1979,0
43,2023-11-28,4880942726111970,Amazon,gas,31.923420518544035,Jane,Johnson,Oak Ave,Chicago,IL,63171,2001-02-06,TXN000043,53.629774065594006,-26.120908491638403,85.85478983272696,37.990538960857975,6032156,Engineer,1985,0
44,2023-04-05,4787980428444193,CVS,grocery,323.9070782071517,Mike,Smith,Pine Rd,New York,CA,29522,2021-10-17,TXN000044,11.362786900568437,45.591725992232995,25.583246435566863,-5.479898367439091,3746029,Doctor,1997,0
45,2023-08-30,4538335496868090,CVS,gas,487.25258880165427,John,Johnson,Pine Rd,Chicago,IL,75532,2020-02-29,TXN000045,-88.96128096726576,81.93360358970762,-84.45841760506562,-141.91959351813588,856454,Doctor,1997,0
46,2023-04-24,4126401684121356,Amazon,grocery,39.55132403424132,Mike,Williams,Oak Ave,New York,NY,24635,2022-10-19,TXN000046,-12.721902173244857,64.55399951287927,40.28449979349418,-79.94807612303073,2771418,Manager,1965,0
